"","from","to","probability"
"1","mainstem, RIS to RRE","mainstem, PRA to RIS","0.41 (0.32 - 0.49)"
"2","mainstem, RIS to RRE","mainstem, RRE to WEL","0.42 (0.34 - 0.5)"
"3","mainstem, RIS to RRE","Wenatchee River Mouth","0.00096 (0.00000000017 - 0.0047)"
"4","mainstem, RIS to RRE","Wenatchee River Upstream","0.00096 (0.00000000017 - 0.0047)"
"5","mainstem, RIS to RRE","loss","0.17 (0.1 - 0.25)"
"6","mainstem, RRE to WEL","mainstem, RIS to RRE","0.33 (0.2 - 0.46)"
"7","mainstem, RRE to WEL","mainstem, upstream of WEL","0.45 (0.32 - 0.65)"
"8","mainstem, RRE to WEL","Entiat River Mouth","0.0023 (0.000000000069 - 0.015)"
"9","mainstem, RRE to WEL","Entiat River Upstream","0.0023 (0.000000000069 - 0.015)"
"10","mainstem, RRE to WEL","loss","0.21 (0.00034 - 0.37)"
"11","mainstem, upstream of WEL","mainstem, RRE to WEL","0.58 (0.39 - 0.83)"
"12","mainstem, upstream of WEL","Okanogan River Mouth","0.0036 (0.0000000014 - 0.02)"
"13","mainstem, upstream of WEL","Okanogan River Upstream","0.0036 (0.0000000014 - 0.02)"
"14","mainstem, upstream of WEL","Methow River Mouth","0.005 (0.0000000016 - 0.038)"
"15","mainstem, upstream of WEL","Methow River Upstream","0.005 (0.0000000016 - 0.038)"
"16","mainstem, upstream of WEL","Upstream WEL other tributaries","0.0055 (0.0000000012 - 0.037)"
"17","mainstem, upstream of WEL","loss","0.39 (0.16 - 0.59)"
"18","mainstem, upstream of LGR","mainstem, ICH to LGR","0.38 (0.36 - 0.41)"
"19","mainstem, upstream of LGR","Asotin Creek Mouth","0.0023 (0.00059 - 0.0046)"
"20","mainstem, upstream of LGR","Asotin Creek Upstream","0.0023 (0.00059 - 0.0046)"
"21","mainstem, upstream of LGR","Clearwater River","0.018 (0.012 - 0.025)"
"22","mainstem, upstream of LGR","Salmon River","0.0022 (0.00057 - 0.0055)"
"23","mainstem, upstream of LGR","Grande Ronde River","0.016 (0.01 - 0.023)"
"24","mainstem, upstream of LGR","Imnaha River Mouth","0.000092 (0.0000000008 - 0.00059)"
"25","mainstem, upstream of LGR","Imnaha River Upstream","0.000092 (0.0000000008 - 0.00059)"
"26","mainstem, upstream of LGR","loss","0.58 (0.55 - 0.6)"
"27","Wenatchee River Mouth","mainstem, RIS to RRE","0.66 (0.19 - 0.98)"
"28","Wenatchee River Mouth","loss","0.34 (0.02 - 0.81)"
"29","Entiat River Mouth","mainstem, RRE to WEL","0.53 (0.00000031 -   1)"
"30","Entiat River Mouth","loss","0.47 (0.00000011 -   1)"
"31","Okanogan River Mouth","mainstem, upstream of WEL","0.094 (0.00000000029 - 0.61)"
"32","Okanogan River Mouth","loss","0.91 (0.39 -   1)"
"33","Okanogan River Upstream","mainstem, upstream of WEL","0.094 (0.00000000029 - 0.61)"
"34","Okanogan River Upstream","loss","0.91 (0.39 -   1)"
"35","Methow River Mouth","mainstem, upstream of WEL","0.67 (0.25 - 0.98)"
"36","Methow River Mouth","loss","0.33 (0.022 - 0.75)"
"37","Methow River Upstream","mainstem, upstream of WEL","0.67 (0.25 - 0.98)"
"38","Methow River Upstream","loss","0.33 (0.022 - 0.75)"
"39","Tucannon River Mouth","mainstem, ICH to LGR","0.1 (0.079 - 0.14)"
"40","Tucannon River Mouth","loss","0.9 (0.86 - 0.92)"
"41","Asotin Creek Mouth","mainstem, upstream of LGR","0.013 (0.0000000086 - 0.071)"
"42","Asotin Creek Mouth","loss","0.99 (0.93 -   1)"
"43","Asotin Creek Upstream","mainstem, upstream of LGR","0.013 (0.0000000086 - 0.071)"
"44","Asotin Creek Upstream","loss","0.99 (0.93 -   1)"
"45","Clearwater River","mainstem, upstream of LGR","0.063 (0.0025 - 0.21)"
"46","Clearwater River","loss","0.94 (0.79 -   1)"
"47","Salmon River","mainstem, upstream of LGR","0.038 (0.0000000092 - 0.23)"
"48","Salmon River","loss","0.96 (0.77 -   1)"
"49","Grande Ronde River","mainstem, upstream of LGR","0.0058 (0.00000000062 - 0.039)"
"50","Grande Ronde River","loss","0.99 (0.96 -   1)"
"51","Imnaha River Mouth","mainstem, upstream of LGR","0.023 (0.000000013 - 0.14)"
"52","Imnaha River Mouth","loss","0.98 (0.86 -   1)"
