"","from","to","probability","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.07 (0.07 - 0.08)","Tucannon_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.06 (0.05 - 0.07)","Asotin_Creek"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.03 (0.03 - 0.03)","Clearwater_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.05 (0.04 - 0.05)","Salmon_River"
"5","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.03 (0.03 - 0.03)","Grande_Ronde"
"6","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.05 (0.04 - 0.05)","Imnaha_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.03 (0.03 - 0.03)","Tucannon_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.02 (0.02 - 0.03)","Asotin_Creek"
"9","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.01 (0.01 - 0.01)","Clearwater_River"
"10","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.02 (0.02 - 0.02)","Salmon_River"
"11","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.01 (0.01 - 0.01)","Grande_Ronde"
"12","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.02 (0.02 - 0.02)","Imnaha_River"
"13","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.85 (0.84 - 0.87)","Tucannon_River"
"14","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.88 (0.86 - 0.91)","Asotin_Creek"
"15","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.94 (0.93 - 0.94)","Clearwater_River"
"16","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.91 (0.90 - 0.91)","Salmon_River"
"17","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.94 (0.94 - 0.95)","Grande_Ronde"
"18","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.91 (0.90 - 0.92)","Imnaha_River"
"19","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Tucannon_River"
"20","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Asotin_Creek"
"21","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Clearwater_River"
"22","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Salmon_River"
"23","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Grande_Ronde"
"24","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Imnaha_River"
"25","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.01 (0.00 - 0.02)","Tucannon_River"
"26","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Asotin_Creek"
"27","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Clearwater_River"
"28","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Salmon_River"
"29","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Grande_Ronde"
"30","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Imnaha_River"
"31","mainstem, MCN to ICH or PRA","loss","0.04 (0.03 - 0.04)","Tucannon_River"
"32","mainstem, MCN to ICH or PRA","loss","0.03 (0.02 - 0.04)","Asotin_Creek"
"33","mainstem, MCN to ICH or PRA","loss","0.02 (0.01 - 0.02)","Clearwater_River"
"34","mainstem, MCN to ICH or PRA","loss","0.02 (0.02 - 0.03)","Salmon_River"
"35","mainstem, MCN to ICH or PRA","loss","0.01 (0.01 - 0.02)","Grande_Ronde"
"36","mainstem, MCN to ICH or PRA","loss","0.02 (0.02 - 0.03)","Imnaha_River"
"37","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.03 (0.03 - 0.03)","Tucannon_River"
"38","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.03 (0.02 - 0.05)","Asotin_Creek"
"39","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.01 (0.01 - 0.01)","Clearwater_River"
"40","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.02 (0.02 - 0.02)","Salmon_River"
"41","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.02 (0.02 - 0.02)","Grande_Ronde"
"42","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.04 (0.03 - 0.04)","Imnaha_River"
"43","mainstem, ICH to LGR","mainstem, upstream of LGR","0.52 (0.50 - 0.54)","Tucannon_River"
"44","mainstem, ICH to LGR","mainstem, upstream of LGR","0.91 (0.88 - 0.93)","Asotin_Creek"
"45","mainstem, ICH to LGR","mainstem, upstream of LGR","0.95 (0.95 - 0.96)","Clearwater_River"
"46","mainstem, ICH to LGR","mainstem, upstream of LGR","0.94 (0.93 - 0.94)","Salmon_River"
"47","mainstem, ICH to LGR","mainstem, upstream of LGR","0.94 (0.93 - 0.94)","Grande_Ronde"
"48","mainstem, ICH to LGR","mainstem, upstream of LGR","0.91 (0.90 - 0.92)","Imnaha_River"
"49","mainstem, ICH to LGR","Tucannon River Mouth","0.36 (0.33 - 0.38)","Tucannon_River"
"50","mainstem, ICH to LGR","Tucannon River Mouth","0.02 (0.01 - 0.03)","Asotin_Creek"
"51","mainstem, ICH to LGR","Tucannon River Mouth","<0.01","Clearwater_River"
"52","mainstem, ICH to LGR","Tucannon River Mouth","<0.01","Salmon_River"
"53","mainstem, ICH to LGR","Tucannon River Mouth","<0.01","Grande_Ronde"
"54","mainstem, ICH to LGR","Tucannon River Mouth","<0.01","Imnaha_River"
"55","mainstem, ICH to LGR","loss","0.09 (0.08 - 0.10)","Tucannon_River"
"56","mainstem, ICH to LGR","loss","0.04 (0.03 - 0.06)","Asotin_Creek"
"57","mainstem, ICH to LGR","loss","0.03 (0.03 - 0.04)","Clearwater_River"
"58","mainstem, ICH to LGR","loss","0.04 (0.03 - 0.04)","Salmon_River"
"59","mainstem, ICH to LGR","loss","0.04 (0.04 - 0.05)","Grande_Ronde"
"60","mainstem, ICH to LGR","loss","0.05 (0.04 - 0.06)","Imnaha_River"
"61","mainstem, upstream of LGR","mainstem, ICH to LGR","0.40 (0.38 - 0.42)","Tucannon_River"
"62","mainstem, upstream of LGR","mainstem, ICH to LGR","0.03 (0.02 - 0.05)","Asotin_Creek"
"63","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.02 - 0.02)","Clearwater_River"
"64","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.02 - 0.02)","Salmon_River"
"65","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.02 - 0.02)","Grande_Ronde"
"66","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.02 - 0.02)","Imnaha_River"
