"","from","to","probability"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.98 (0.97 - 0.99)"
"2","mainstem, mouth to BON","loss","0.02 (0.014 - 0.027)"
"3","mainstem, BON to MCN","mainstem, mouth to BON","0.021 (0.02 - 0.023)"
"4","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.79 (0.78 - 0.79)"
"5","mainstem, BON to MCN","Deschutes River Mouth","0.0023 (0.002 - 0.0027)"
"6","mainstem, BON to MCN","Deschutes River Upstream","0.0023 (0.002 - 0.0027)"
"7","mainstem, BON to MCN","John Day River Mouth","0.0016 (0.0013 - 0.0019)"
"8","mainstem, BON to MCN","John Day River Upstream","0.0016 (0.0013 - 0.0019)"
"9","mainstem, BON to MCN","Hood River Mouth","0.0000029 (0.0000000000023 - 0.000019)"
"10","mainstem, BON to MCN","Hood River Upstream","0.0000029 (0.0000000000023 - 0.000019)"
"11","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.0000032 (0.0000000000065 - 0.000022)"
"12","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.0000032 (0.0000000000065 - 0.000022)"
"13","mainstem, BON to MCN","Umatilla River Mouth","0.000059 (0.000011 - 0.00015)"
"14","mainstem, BON to MCN","Umatilla River Upstream","0.000059 (0.000011 - 0.00015)"
"15","mainstem, BON to MCN","BON to MCN other tributaries","0.0012 (0.0009 - 0.0016)"
"16","mainstem, BON to MCN","loss","0.18 (0.18 - 0.19)"
"17","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.47 (0.44 - 0.5)"
"18","mainstem, PRA to RIS","mainstem, RIS to RRE","0.47 (0.44 - 0.5)"
"19","mainstem, PRA to RIS","loss","0.057 (0.044 - 0.074)"
"20","mainstem, RIS to RRE","mainstem, PRA to RIS","0.38 (0.34 - 0.42)"
"21","mainstem, RIS to RRE","mainstem, RRE to WEL","0.57 (0.54 - 0.61)"
"22","mainstem, RIS to RRE","Wenatchee River Mouth","0.0003 (0.00000000022 - 0.0021)"
"23","mainstem, RIS to RRE","Wenatchee River Upstream","0.0003 (0.00000000022 - 0.0021)"
"24","mainstem, RIS to RRE","loss","0.043 (0.025 - 0.064)"
"25","mainstem, RRE to WEL","mainstem, RIS to RRE","0.27 (0.23 - 0.32)"
"26","mainstem, RRE to WEL","mainstem, upstream of WEL","0.65 (0.61 - 0.72)"
"27","mainstem, RRE to WEL","Entiat River Mouth","0.00038 (0.00000000021 - 0.0018)"
"28","mainstem, RRE to WEL","Entiat River Upstream","0.00038 (0.00000000021 - 0.0018)"
"29","mainstem, RRE to WEL","loss","0.076 (0.000064 - 0.13)"
"30","mainstem, upstream of WEL","mainstem, RRE to WEL","0.4 (0.33 - 0.47)"
"31","mainstem, upstream of WEL","Okanogan River Mouth","0.011 (0.0021 - 0.026)"
"32","mainstem, upstream of WEL","Okanogan River Upstream","0.011 (0.0021 - 0.026)"
"33","mainstem, upstream of WEL","Methow River Mouth","0.021 (0.0056 - 0.044)"
"34","mainstem, upstream of WEL","Methow River Upstream","0.021 (0.0056 - 0.044)"
"35","mainstem, upstream of WEL","Upstream WEL other tributaries","0.0086 (0.00063 - 0.023)"
"36","mainstem, upstream of WEL","loss","0.53 (0.45 - 0.6)"
"37","Deschutes River Mouth","mainstem, BON to MCN","0.8 (0.78 - 0.82)"
"38","Deschutes River Mouth","loss","0.2 (0.18 - 0.22)"
"39","Deschutes River Upstream","mainstem, BON to MCN","0.8 (0.78 - 0.82)"
"40","Deschutes River Upstream","loss","0.2 (0.18 - 0.22)"
"41","John Day River Mouth","mainstem, BON to MCN","0.29 (0.22 - 0.36)"
"42","John Day River Mouth","loss","0.71 (0.64 - 0.78)"
"43","Hood River Mouth","mainstem, BON to MCN","0.73 (0.58 - 0.86)"
"44","Hood River Mouth","loss","0.27 (0.14 - 0.42)"
"45","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.026 (0.0000000001 - 0.16)"
"46","Fifteenmile Creek Mouth","loss","0.97 (0.84 -   1)"
"47","Umatilla River Mouth","mainstem, BON to MCN","0.14 (0.059 - 0.24)"
"48","Umatilla River Mouth","loss","0.86 (0.76 - 0.94)"
"49","Umatilla River Upstream","mainstem, BON to MCN","0.14 (0.059 - 0.24)"
"50","Umatilla River Upstream","loss","0.86 (0.76 - 0.94)"
"51","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.35 (0.15 - 0.59)"
"52","Yakima River Mouth","loss","0.65 (0.41 - 0.85)"
"53","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.24 (0.14 - 0.38)"
"54","Walla Walla River Mouth","loss","0.76 (0.62 - 0.86)"
"55","Wenatchee River Mouth","mainstem, RIS to RRE","0.49 (0.078 - 0.93)"
"56","Wenatchee River Mouth","loss","0.51 (0.073 - 0.92)"
"57","Entiat River Mouth","mainstem, RRE to WEL","0.03 (0.0000000055 - 0.22)"
"58","Entiat River Mouth","loss","0.97 (0.78 -   1)"
"59","Okanogan River Mouth","mainstem, upstream of WEL","0.14 (0.03 - 0.31)"
"60","Okanogan River Mouth","loss","0.86 (0.69 - 0.97)"
"61","Okanogan River Upstream","mainstem, upstream of WEL","0.14 (0.03 - 0.31)"
"62","Okanogan River Upstream","loss","0.86 (0.69 - 0.97)"
"63","Methow River Mouth","mainstem, upstream of WEL","0.25 (0.1 - 0.43)"
"64","Methow River Mouth","loss","0.75 (0.57 - 0.9)"
"65","Methow River Upstream","mainstem, upstream of WEL","0.25 (0.1 - 0.43)"
"66","Methow River Upstream","loss","0.75 (0.57 - 0.9)"
"67","BON to MCN other tributaries","mainstem, BON to MCN","0.24 (0.15 - 0.34)"
"68","BON to MCN other tributaries","loss","0.76 (0.66 - 0.85)"
"69","Upstream WEL other tributaries","mainstem, upstream of WEL","0.06 (0.00000001 - 0.42)"
"70","Upstream WEL other tributaries","loss","0.94 (0.58 -   1)"
