"","from","to","probability","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.00 - 0.04)","Wenatchee_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.04 (0.00 - 0.13)","Entiat_River"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.03 (0.00 - 0.13)","Methow_River"
"4","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.91 - 1.00)","Wenatchee_River"
"5","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.93 (0.79 - 0.99)","Entiat_River"
"6","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.94 (0.70 - 1.00)","Methow_River"
"7","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.01 (0.00 - 0.03)","Wenatchee_River"
"8","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.01 (0.00 - 0.03)","Entiat_River"
"9","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.01 (0.00 - 0.03)","Methow_River"
"10","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Wenatchee_River"
"11","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Entiat_River"
"12","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Methow_River"
"13","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Wenatchee_River"
"14","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Entiat_River"
"15","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Methow_River"
"16","mainstem, MCN to ICH or PRA","loss","0.01 (0.00 - 0.03)","Wenatchee_River"
"17","mainstem, MCN to ICH or PRA","loss","0.02 (0.00 - 0.08)","Entiat_River"
"18","mainstem, MCN to ICH or PRA","loss","0.02 (0.00 - 0.10)","Methow_River"
"19","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.01 (0.00 - 0.06)","Wenatchee_River"
"20","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.03 (0.00 - 0.07)","Entiat_River"
"21","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.01 (0.00 - 0.04)","Methow_River"
"22","mainstem, PRA to RIS","mainstem, RIS to RRE","0.98 (0.93 - 1.00)","Wenatchee_River"
"23","mainstem, PRA to RIS","mainstem, RIS to RRE","0.94 (0.89 - 0.99)","Entiat_River"
"24","mainstem, PRA to RIS","mainstem, RIS to RRE","0.98 (0.91 - 1.00)","Methow_River"
"25","mainstem, PRA to RIS","loss","0.01 (0.00 - 0.02)","Wenatchee_River"
"26","mainstem, PRA to RIS","loss","0.03 (0.00 - 0.06)","Entiat_River"
"27","mainstem, PRA to RIS","loss","0.01 (0.00 - 0.05)","Methow_River"
"28","mainstem, RIS to RRE","mainstem, PRA to RIS","<0.01","Wenatchee_River"
"29","mainstem, RIS to RRE","mainstem, PRA to RIS","0.03 (0.01 - 0.06)","Entiat_River"
"30","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.00 - 0.04)","Methow_River"
"31","mainstem, RIS to RRE","mainstem, RRE to WEL","0.02 (0.00 - 0.08)","Wenatchee_River"
"32","mainstem, RIS to RRE","mainstem, RRE to WEL","0.96 (0.93 - 0.99)","Entiat_River"
"33","mainstem, RIS to RRE","mainstem, RRE to WEL","0.97 (0.91 - 1.00)","Methow_River"
"34","mainstem, RIS to RRE","Wenatchee River Mouth","0.96 (0.89 - 0.99)","Wenatchee_River"
"35","mainstem, RIS to RRE","Wenatchee River Mouth","<0.01","Entiat_River"
"36","mainstem, RIS to RRE","Wenatchee River Mouth","0.02 (0.00 - 0.08)","Methow_River"
"37","mainstem, RIS to RRE","loss","0.01 (0.00 - 0.03)","Wenatchee_River"
"38","mainstem, RIS to RRE","loss","0.01 (0.00 - 0.02)","Entiat_River"
"39","mainstem, RIS to RRE","loss","<0.01","Methow_River"
"40","mainstem, RRE to WEL","mainstem, RIS to RRE","0.66 (0.51 - 0.81)","Wenatchee_River"
"41","mainstem, RRE to WEL","mainstem, RIS to RRE","0.03 (0.02 - 0.04)","Entiat_River"
"42","mainstem, RRE to WEL","mainstem, RIS to RRE","<0.01","Methow_River"
"43","mainstem, RRE to WEL","mainstem, upstream of WEL","0.15 (0.03 - 0.29)","Wenatchee_River"
"44","mainstem, RRE to WEL","mainstem, upstream of WEL","0.19 (0.16 - 0.23)","Entiat_River"
"45","mainstem, RRE to WEL","mainstem, upstream of WEL","0.98 (0.92 - 1.00)","Methow_River"
"46","mainstem, RRE to WEL","Entiat River Mouth","0.08 (0.02 - 0.19)","Wenatchee_River"
"47","mainstem, RRE to WEL","Entiat River Mouth","0.74 (0.70 - 0.79)","Entiat_River"
"48","mainstem, RRE to WEL","Entiat River Mouth","<0.01","Methow_River"
"49","mainstem, RRE to WEL","loss","0.11 (0.05 - 0.21)","Wenatchee_River"
"50","mainstem, RRE to WEL","loss","0.03 (0.01 - 0.06)","Entiat_River"
"51","mainstem, RRE to WEL","loss","0.02 (0.00 - 0.08)","Methow_River"
"52","mainstem, upstream of WEL","mainstem, RRE to WEL","0.68 (0.50 - 0.83)","Wenatchee_River"
"53","mainstem, upstream of WEL","mainstem, RRE to WEL","0.65 (0.58 - 0.72)","Entiat_River"
"54","mainstem, upstream of WEL","mainstem, RRE to WEL","0.02 (0.00 - 0.04)","Methow_River"
"55","mainstem, upstream of WEL","Okanogan River Mouth","<0.01","Wenatchee_River"
"56","mainstem, upstream of WEL","Okanogan River Mouth","<0.01","Entiat_River"
"57","mainstem, upstream of WEL","Okanogan River Mouth","0.07 (0.01 - 0.13)","Methow_River"
"58","mainstem, upstream of WEL","Methow River Mouth","0.17 (0.01 - 0.42)","Wenatchee_River"
"59","mainstem, upstream of WEL","Methow River Mouth","0.22 (0.16 - 0.29)","Entiat_River"
"60","mainstem, upstream of WEL","Methow River Mouth","0.92 (0.85 - 0.98)","Methow_River"
"61","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Wenatchee_River"
"62","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Entiat_River"
"63","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Methow_River"
"64","mainstem, upstream of WEL","loss","0.15 (0.00 - 0.34)","Wenatchee_River"
"65","mainstem, upstream of WEL","loss","0.12 (0.06 - 0.17)","Entiat_River"
"66","mainstem, upstream of WEL","loss","<0.01","Methow_River"
"67","Wenatchee River Mouth","mainstem, RIS to RRE","<0.01","Wenatchee_River"
"68","Wenatchee River Mouth","mainstem, RIS to RRE","0.98 (0.93 - 1.00)","Entiat_River"
"69","Wenatchee River Mouth","mainstem, RIS to RRE","0.93 (0.62 - 1.00)","Methow_River"
"70","Wenatchee River Mouth","loss","1.00 (1.00 - 1.00)","Wenatchee_River"
